Court St & Upland Ave,7312
Court St & Westminster St,7316
Court St Transportation Center,7004
Crosspark Ave & Broadway St,7035
Crosspark Ave 900 Block,7034
Currier Hall,1015
D St & 3rd Ave,7229
Deerfield Dr & Duck Creek Dr,8337
Denbigh & Derwin,8237
Denbigh Dr & Hafor Dr,8238
Denbigh Dr & Penkridge Dr,8239
Denbigh Dr & Sunset St,8240
Dental College,246
Dental on Elliott,2040
Dodge St - 500 block,7460
Dodge St & Bowery St,7105
Dodge St & Burlington St,7458
Dodge St & College St,7210
Dodge St & Court St,7459
Dodge St & Walnut St,7106
Downtown Interchange,1
Dubuque St & Bloomington St,7452
Dubuque St & Church St,7093
Dubuque St & Davenport St,7092
Dubuque St & Fairchild St,7450
Dubuque St & Market St,7091
Dubuque St & Park Rd,8073
Duck Creek Dr & Partridge Court,8338
Duck Creek Dr & Wild Prairie Dr,8339
East Lot Temporary Stop South,3001
Eastdale Plaza,7124
Elliot St @ Carver Hawkeye Arena,241
ERF,1060
F St & 6th Ave,7222
F St & Muscatine Ave,7223
Fairview Ln & Andrews Ct,5861
Fairview Ln & Augusta Circle,5860
Family Care,2070
Finkbine Entrance,2025
Finkbine North,2030
Finkbine South,2031
Forest View Trailer Park,8082
Foster Rd & Algonquin Rd,8085
Foster Rd & Dubuque St,8078
Foster Rd & Idyllwild Dr,8083
Foster Rd & Laura Dr,8079
Foster Rd & Laura Dr-Church,8081
Foster Rd & Swisher St,8088
Foster Rd 900 Block,8087
Friendship Ave & Arbor St,7321
Friendship Ave & Clover St,7322
Friendship Ave & Meadow St,7324
Friendship Ave & Norwood Circle,7323
Friendship Ave & Terrace Rd,7325
Friendship St & 5th Ave,7232
Friendship St & 7th Ave,7234
Friendship St & Court St,7319
Friendship St & Garden St,7233
Friendship St & Third Ave,7230
Front & Vandello,5801
Front St & Cherry St,5830
Front St & Vandello,5800
Front St & Weston,5810
Front St & Zeller,5820
Frontage Rd,7050
Frontage Rd & Lakeside Dr,7701
Gilbert St @ Hills Bank,7025
Gilbert St & 3rd Ave,7014
Gilbert St & Benton St,7009
Gilbert St & Bowery St,7008
Gilbert St & Church St,7447
Gilbert St & Fairchild St,7446
Gilbert St & Jefferson St,7205
Gilbert St & Kirkwood Ave,7011
Gilbert St & Prentiss St,7007
Gilbert St & Stevens Dr,7024
Gilbert St & Washington St - IC City Hall,7202
Golfview Dr & Heidi Ln,5850
Golfview Dr & Rebecca St,5851
Golfview Dr at the Holiday MH Park,5855
Goodwill,5090
Governor St & Brown St,7504
Governor St & Church St,7503
Governor St & Davenport St,7502
Governor St & Governor St,7505
Governor St & Jefferson St,7500
Governor St & Kimball Rd,7530
Governor St & Market St,7501
Governor St & North Dodge St,7506
Grand Ave & South Grand-UIHC Emergency Entrance,8100
Greenwood Dr & Benton St,8121
Hall of Fame North,3155
Hall of Fame South,3156
Hancher Lot East,2114
Hancher West,2115
Hancher/North Riverside,2120
Hancher/Park Rd,2110
Hawk Lot 1,3125
Hawk Lot 2,3130
Hawkeye Park Road at Aspire,3104
"Hawkins Dr - UI Center for Disabilities, Dental College",8204
"Hawkins Dr - UI Main Hospital, Kinnick Stadium",8203
Hawkins Dr & Melrose Ave-UI Childrens Hospital,8205
Heartland Place & Heartland Dr,5080
Heinz Rd & Hwy 6 East,7127
Heinz Rd & Scott Blvd,7132
Highland Ave - Kirkwood College,7062
Highland Ave & Boyrum St,7069
Highland Ave & Franklin St,7065
Highland Ave & Gilbert Court,7070
Highland Ave & Gilbert St,7016
Highland Ave & Keokuk St,7068
Highland Ave & Lukurk St,7067
Highland Ave & Pine St,7064
Highland Ave & Ridge,7066
Highway 6 - Dairy Queen,5250
Highway 6 & 10th Ave,5020
Highway 6 & 1st Ave - Hardees,4015
Highway 6 & 22nd Ave,5041
Highway 6 & 22nd Ave.,5040
Highway 6 & 6th Ave,5010
Highway 6 & Hawkins,4010
Highway 6 Park Place Stop,5030
Holiday Rd - North Ridge Park,5110
Holiday Rd & 12th Ave,5203
Holiday Rd & 12th Ave.,5200
Holiday Rd & 1st Ave,365
Holiday Rd & High Country Rd,360
Holiday Rd & Liberty Ln,5191
Holiday Rd & North Coral St,5100
Holiday Rd & North Coral St - Hope House,5101
Holiday Rd & Oak Lake Park Rd,350
Holiday Rd & Olde Hickory Rd,361
Holiday Rd & Westview,354
Hollywood Blvd & Delwood Dr,7043
Hollywood Blvd & Fairmeadows Blvd,7045
Hollywood Blvd & Grantwood St,7044
Hollywood Blvd & Sycamore St,7042
Hollywood Blvd Mid -block,7041
HTRC North,3140
HTRC South,3141
Huntington Dr & Arlington Dr,7333
Huntington Dr & Cardigan Ln,7334
Huntington Dr & Court St,7335
Hwy 1 & Ruppert Rd,8011
Hwy 1 West @ Slagers,8015
Hwy 1 West & Miller Ave,8010
Hwy 6 East & Heinz Rd,7126
