10th Street,
1st Ave,
AM Express,
AM North Liberty,
Express,
Lantern Park,
Night and Saturday,
PM North Liberty,
Basketball Shuttle,
Blue Route,
East Campus Shuttle,
Football Shuttle Hancher/Downtown,
Football Shuttle Hawk Lot,
Hawk Lot/Hospital,
Hawkeye Express,
Hawkeye Interdorm,
Hawkeye-Hospital,
Hospital Finkbine/Arena,
Hospital via Hancher,
Interdorm,
Mayflower Shuttle,
North Hospital Shuttle,
Pentacrest,
Red Route,
Research Park,
7th Avenue,
Broadway,
Broadway Night and Saturday,
Court Hill,
Cross Park,
Eastside Express,
Eastside Loop AM,
Eastside Loop PM,
Free Shuttle North,
Free Shuttle South,
Lakeside,
Mall,
Manville Heights,
Manville Heights Night and Saturday,
Melrose Express,
North Dodge,
North Dodge Night and Saturday,
Oakcrest,
Oakcrest Night and Saturday,
Plaen View,
Rochester,
Towncrest,
Towncrest Night and Saturday,
Westport Plaza,
Westside Hospital,
Westwinds,
Westwinds Night and Saturday,
